ticker,price,change,volume
AAPL,270.07,-0.11,253914
ACMR,41.72,0.63,2592
ACN,249.6,-0.2,549
ADEA,17.0,-0.23,1035
ADI,234.91,0.33,318
ADP,260.3,0.0,931
ALIT,2.91,1.04,6501
ALNT,54.63,-0.1,52
AMAT,235.5,1.03,12757
AMKR,33.35,3.31,53302
APH,140.77,1.03,8555
ASML,1062.83,0.34,9166
ASX,16.12,0.69,21609
ATEN,17.84,0.0,0
AUDC,9.12,2.13,3697
AVGO,373.48,1.04,117698
AVT,48.45,0.0,0
BDC,121.85,0.0,0
BELFB,153.99,0.0,0
BHE,43.82,0.0,0
BMI,181.0,0.3,72
BOX,32.09,0.0,0
BR,220.4,0.0,404
BSY,50.83,0.0,0
CDW,159.4,0.02,31
CGNX,41.39,0.0,2287
CLMB,111.08,0.0,0
CNXC,40.51,0.5,486
CNXN,60.97,0.0,0
COHR,133.89,1.46,8183
CRCT,5.31,0.0,0
CRM,260.83,0.16,12748
CRWV,136.13,1.81,293429
CSCO,74.34,1.68,134584
CSGS,78.27,0.0,0
CSPI,13.34,0.0,0
CTS,42.0,1.18,1
CTSH,72.88,0.0,89
DBD,59.15,0.0,0
DELL,168.13,3.78,142842
DLO,14.8,1.02,9426
DOX,84.26,0.0,0
DSWL,3.51,2.03,30
ELTK,11.27,0.0,0
ENTG,92.18,0.67,337
ERIC,10.3,2.08,268432
ESE,219.47,0.0,0
ESTC,91.71,2.79,118
EVTC,28.47,0.0,0
FIS,62.52,0.0,998
FORTY,145.73,4.09,50
FTV,50.34,0.0,376
G,38.16,0.03,434
GEN,26.36,0.0,485
GIB,87.0,0.0,0
GLW,89.83,0.84,19254
GPN,77.85,0.12,299
GRMN,213.39,-0.26,858
HCKT,18.11,0.0,0
HIMX,9.46,0.42,5661
HPE,24.67,1.02,25789
HPQ,27.6,-0.25,3765
IBM,308.73,0.43,7985
IDCC,369.0,1.94,1435
III,5.87,6.53,4917
IMMR,6.69,0.0,165
IMOS,21.2,0.0,0
INFY,16.57,0.0,2220
INGM,22.96,0.0,0
INTC,40.24,0.63,775809
INTU,667.0,-0.08,612
ITRN,38.51,0.0,0
JBL,224.0,1.41,1432
JKHY,148.94,0.0,72
JKS,25.18,0.28,2797
KARO,44.58,0.0,0
KLAC,1221.8,1.08,2327
KLIC,40.8,2.18,50
KSPI,75.19,0.53,5161
LDOS,190.0,-0.25,209
LFUS,245.31,0.82,1147
LOGI,121.6,0.86,346
LRCX,159.08,1.03,19931
LYTS,22.89,0.0,0
MCHP,62.54,0.19,15669
MEI,6.73,0.0,0
MGIC,21.02,1.64,703
MKSI,144.21,0.35,135
MLAB,71.89,0.0,0
MNDO,1.05,-2.38,7375
MPWR,1017.0,1.19,492
MRVL,95.35,1.72,111850
MSFT,521.05,0.63,294928
MSI,406.71,0.0,550
MU,231.7,3.54,667232
NOK,7.17,3.77,1255090
NTAP,117.77,-0.01,2057
NVDA,206.26,1.86,3875551
NVEC,69.05,0.0,0
NXPI,210.64,0.73,9505
OLED,147.28,0.0,32
ORCL,265.23,1.0,196167
OSPN,11.5,0.88,4678
OTEX,38.35,0.0,227
PAGS,9.5,-0.94,2996
PAYC,187.09,0.0,23
PAYX,117.03,0.0,108
PEGA,64.47,1.29,1224
PLUS,78.0,6.62,21
POWI,42.26,0.88,2519
PRTH,6.96,0.0,0
QCOM,182.51,0.89,113023
RAL,44.02,0.23,85
RELL,10.78,0.0,10
ROP,447.2,0.24,54
SAIC,93.71,0.0,0
SAP,263.45,1.32,9138
SIMO,98.0,-0.11,1683
SNX,156.8,0.2,293
SONY,28.21,1.13,2229
SPNS,43.19,0.33,2069
SSNC,85.5,0.68,6
ST,31.83,0.0,0
STM,24.55,0.33,12288
STNE,19.17,0.84,2017
STRC,99.62,0.24,21133
STX,259.89,1.57,41888
SWKS,78.1,0.49,8060
TAIT,2.22,-7.31,22371
TEL,247.99,0.4,2384
TER,184.5,1.51,10516
TRAK,15.01,0.0,0
TSM,302.18,0.58,132324
TUYA,2.32,1.78,17739
TXN,161.57,0.07,6147
UI,790.5,0.42,730
UMC,7.83,1.56,17423
UPBD,19.4,0.1,73
VNT,38.51,0.03,217
VRSN,240.18,0.16,330
VSH,16.98,0.0,0
VTEX,4.49,0.0,349
VYX,11.5,0.79,570
WDC,152.45,1.49,113781
WIT,2.63,0.0,551
XRX,3.33,0.32,19907
YMM,13.0,0.0,6229
YOU,30.75,0.92,607
